country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coal_consumption_mt,coal_production_cum,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,external_debt_usd,fighter_aircraft,fit_for_service,foreign_exchange_and_gold_reserves_usd,frigates,helicopter_carriers,labour_force,major_ports_and_terminals,mine_warfare_craft,natural_gas_consumption_cum,natural_gas_production_cum,oil_consumption_bbl,oil_production_bbl,paramilitary,population_reaching_military_age_annually,proven_coal_reserves_cum,proven_natural_gas_reserves_cum,proven_oil_reserves_bbl,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_merchant_marine_fleet,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_naval_fleet_tonnage_mt,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km
Ecuador,41250,0,5322,0,0,2237 km,14000 mt,0 Cu.M,5,2237 km,6,2963400000,0,39658000000,0,6738074,6908000000,2,0,8821000,6,0,309778000 Cu.M,309778000 Cu.M,272000 bbl,480000 bbl,1500,329580,24000000 Cu.M,10902000000 Cu.M,8273000000 bbl,252728000000,965 km,118000,43950 km,24,5,8,2,0,202,283560 km,154,99,43,8422593,30,,18309984,317,106,34,20,1500 km
Egypt,438500,0,54694,90,100,2612 km,3262000 mt,69000 Cu.M,61,2450 km,7,5193500000,0,117272000000,242,38269053,44921000000,13,2,33749000,31,17,60089000000 Cu.M,64817000000 Cu.M,830000 bbl,667000 bbl,300000,1668709,182000000 Cu.M,1784000000000 Cu.M,3300000000 bbl,1958000000000,5085 km,479000,65050 km,648,1056,11,8,0,3620,1001450 km,441,1088,348,45611372,149,235989,111247248,73,962,344,53,3500 km
El Salvador,25000,0,2144,15,0,590 km,500 mt,0 Cu.M,8,307 km,0,1037200000,0,12668000000,0,2512278,3705000000,0,0,2890000,3,0,226472 Cu.M,0 Cu.M,56000 bbl,3 bbl,15000,145831,0 Cu.M,0 Cu.M,0 bbl,73961000000,13 km,0,9012 km,0,0,0,0,0,0,21041 km,5,51,28,3181777,13,,6628702,27,76,10,3,422 km
Eritrea,350000,0,1040,0,6,1840 km,0 mt,0 Cu.M,18,2234 km,0,219000000,0,461376000,1,1598677,191694000,0,0,1710000,2,0,0 Cu.M,0 Cu.M,5000 bbl,0 bbl,0,76127,0 Cu.M,0 Cu.M,0 bbl,2534000000,306 km,680000,16000 km,44,45,0,0,0,148,117600 km,9,20,13,2220385,23,,6343956,11,89,1,5,0 km
Estonia,7700,0,2579,0,0,657 km,800 mt,0 Cu.M,4,3794 km,0,2375000000,0,29040000000,0,456028,2075000000,0,0,756200,20,4,354912000 Cu.M,0 Cu.M,27000 bbl,24000 bbl,10000,13132,0 Cu.M,0 Cu.M,0 bbl,57001000000,1441 km,230000,89382 km,6,48,0,0,0,0,45228 km,72,2,0,584958,8,,1193791,34,0,0,2,335 km
Ethiopia,503000,0,8586,0,7,5925 km,1653000 mt,456000 Cu.M,0,0 km,0,3720968976,0,25426000000,25,35327989,3784000000,0,0,54470000,0,0,0 Cu.M,0 Cu.M,102000 bbl,0 bbl,0,2726657,0 Cu.M,24919000000 Cu.M,428000 bbl,380895000000,659 km,138000,180000 km,79,142,0,0,0,338,1104300 km,12,104,33,56904143,0,,118550298,58,469,34,9,0 km
Finland,24000,0,14866,0,0,2563 km,3933000 mt,811000 Cu.M,8,1250 km,0,8890000000,0,726000000000,53,1912981,17993000000,0,0,2898000,37,18,1157000000 Cu.M,0 Cu.M,175000 bbl,8000 bbl,53800,56264,0 Cu.M,0 Cu.M,0 bbl,313591000000,5918 km,870000,108637 km,76,125,1,0,0,200,338145 km,282,162,27,2306830,165,19434,5626414,98,667,77,11,8000 km
France,264000,1,110784,0,67,4072 km,12570000 mt,2157000 Cu.M,22,4853 km,0,67232395000,11,7691315390000,223,23794358,282857000000,5,3,31725000,66,19,37001000000 Cu.M,20132000 Cu.M,1536000 bbl,80000 bbl,150000,752121,160000000 Cu.M,7787000000 Cu.M,61719000 bbl,3732000000000,27860 km,43444,1053215 km,9,74,44,9,15,427,643801 km,553,974,452,30084820,166,487471,68374591,1218,0,140,118,8501 km
Gabon,5000,0,424,0,0,3261 km,0 mt,0 Cu.M,4,885 km,0,340950000,0,6442000000,6,532758,1447000000,0,0,824400,9,0,463000000 Cu.M,463000000 Cu.M,14000 bbl,204000 bbl,2500,46647,0 Cu.M,25995000000 Cu.M,2000000000 bbl,48045000000,649 km,0,14300 km,28,0,0,0,0,0,267667 km,87,25,16,932940,5,,2455105,42,4,0,3,1600 km
Georgia,37000,0,5974,5,11,1814 km,384000 mt,148000 Cu.M,31,310 km,0,680000000,0,9085000000,0,2225036,4447000000,0,0,1833000,3,4,2796000000 Cu.M,8760000 Cu.M,34000 bbl,300 bbl,0,93118,900999000 Cu.M,8495000000 Cu.M,35000000 bbl,91849000000,1363 km,205500,40044 km,42,67,0,0,0,132,69700 km,26,61,44,2744538,19,,4900961,21,121,10,2,0 km
Germany,184324,0,87338,63,49,3694 km,140994000 mt,109741000 Cu.M,54,2389 km,6,127400090000,0,6862470230000,127,30955829,377936000000,11,0,43772000,35,12,77516000000 Cu.M,4824000000 Cu.M,2062000 bbl,131000 bbl,0,841191,35400000000 Cu.M,23390000000 Cu.M,115200000 bbl,5247000000000,39379 km,860000,830000 km,33,134,27,6,3,296,357022 km,595,569,292,38694786,96,241492,84119100,840,0,16,55,7300 km
Ghana,15500,0,3648,0,0,2420 km,51000 mt,0 Cu.M,20,539 km,0,954423756,0,29241000000,0,9961658,3624000000,0,0,13927000,4,0,3912000000 Cu.M,3192000000 Cu.M,96000 bbl,176000 bbl,0,622604,0 Cu.M,22653000000 Cu.M,660000000 bbl,243124000000,947 km,0,65725 km,6,0,2,0,0,0,238533 km,52,18,9,14873310,20,,34589092,11,6,5,2,1293 km
Greece,142700,0,56416,0,28,1110 km,10091000 mt,10469000 Cu.M,45,13676 km,0,8242150000,0,605000000000,178,3985676,15222000000,14,0,4655000,57,3,5173000000 Cu.M,3284000 Cu.M,308000 bbl,5000 bbl,55000,104611,2876000000 Cu.M,991090000 Cu.M,10000000 bbl,192205000000,2345 km,221350,117000 km,152,589,8,9,0,1344,131957 km,1215,560,285,4916713,186,215808,10461091,82,698,86,17,6 km
Guatemala,106114,0,3268,3,0,1667 km,1012000 mt,0 Cu.M,20,400 km,0,616000000,0,11862000000,0,6279794,24412000000,0,0,7575000,3,0,2986000 Cu.M,3276000 Cu.M,117000 bbl,6000 bbl,35000,182552,0 Cu.M,0 Cu.M,86110000 bbl,232673000000,800 km,90000,17440 km,0,0,2,0,0,0,108889 km,9,35,20,7484639,25,,18255216,58,110,0,10,990 km
Honduras,52225,0,4666,7,0,1575 km,144000 mt,0 Cu.M,93,832 km,0,612300000,0,7785000000,6,3144632,8036000000,0,0,4296000,8,0,0 Cu.M,0 Cu.M,71000 bbl,20 bbl,23000,95292,0 Cu.M,0 Cu.M,0 bbl,71297000000,699 km,0,14742 km,0,0,1,0,0,22,112090 km,489,45,11,4192843,98,,9529188,129,48,10,10,465 km
Hungary,41600,0,11502,0,8,2106 km,4694000 mt,4293000 Cu.M,0,0 km,0,5887250000,0,151250000000,12,3794462,46422000000,0,0,4954000,0,0,9485000000 Cu.M,1523000000 Cu.M,179000 bbl,36000 bbl,15000,118269,2633000000 Cu.M,3738000000 Cu.M,12100000 bbl,389207000000,7687 km,20000,203601 km,0,24,0,0,0,220,103000 km,1,80,50,4632200,0,,9855745,109,295,17,3,1622 km
