Country_Code,Country_Name,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km
IRQ,Iraq,42083436,17675043,"14,308,368",715418,193000,0,100000,360,26,36,15,111,17,0,183,39,1188,37496,434,610,572,67,32565.0,0,0,0,0,0,1,55,0,8000000000,15580000000,585887000000,100691000000,73,12008000,6,74,2272,"59,623                        						
							km",4448000,1043000,145019000000,9860000000.0,19298000000.0,3729000000000.0,0.0,0,0.0,438317,58,3809,5279
DEN,Denmark,5973136,2628180,"2,126,436",77651,21000,12000,51000,122,26,19,4,36,3,0,34,0,44,5930,19,0,8,50,121180.0,0,0,0,0,9,0,9,6,14250000000,611050000000,440558000000,108405000000,102,3210000,69,715,2682,"73,591                        						
							km",63000,151000,441000000,1879000000.0,2208000000.0,29534000000.0,0.0,1135000,0.0,43094,7314,140,400
SWZ,Switzerland,8860574,3898653,"3,163,225",97466,147178,0,5000,141,40,0,16,43,3,0,39,0,134,6885,133,0,0,0,,0,0,0,0,0,0,0,0,8372658426,2420000000000,741035000000,909366000000,66,5153000,0,17,5296,"83,131                        						
							km",300,194000,0,0.0,3138000000.0,0.0,0.0,126000,0.0,41277,0,1770,1292
ETH,Ethiopia,118550298,56904143,"35,327,989",2726657,503000,138000,0,104,25,0,9,34,0,0,33,7,338,8586,142,469,79,0,,0,0,0,0,0,0,0,0,3720968976,25426000000,380895000000,3784000000,58,54470000,0,12,659,"180,000                        						
							km",0,102000,428000,0.0,0.0,24919000000.0,456000.0,1653000,0.0,1104300,0,5925,0
FIN,Finland,5626414,2306830,"1,912,981",56264,24000,870000,53800,162,53,0,11,77,1,0,27,0,200,14866,125,667,76,165,19434.0,0,0,0,0,0,0,8,18,8890000000,726000000000,313591000000,17993000000,98,2898000,37,282,5918,"108,637                        						
							km",8000,175000,0,0.0,1157000000.0,0.0,811000.0,3933000,0.0,338145,1250,2563,8000
CHI,Chile,18664652,8959033,"7,521,855",298634,80000,40000,50000,274,45,0,33,92,18,5,86,0,386,7480,48,249,9,130,176065.0,0,0,4,0,8,0,40,0,6800000000,235950000000,596556000000,44403000000,379,10088000,39,249,7282,"77,801                        						
							km",11000,404000,150000000,1200000000.0,6916000000.0,97976000000.0,474000.0,8087000,1181000000.0,756102,6435,7801,12290
PER,Peru,32600249,15648120,"12,681,497",619405,120000,386000,60000,252,15,22,39,68,12,0,112,16,355,9168,12,290,61,78,171629.0,0,0,6,0,7,8,13,0,2552000000,38102000000,535911000000,79246000000,174,18918000,20,111,1855,"70,000                        						
							km",118000,255000,858890000,12270000000.0,7185000000.0,300159000000.0,1382000.0,973000,1567000000.0,1285216,2414,7062,8808
VEN,Venezuela,31250306,15625153,"12,812,625",625006,109000,8000,220000,224,30,0,47,75,3,1,85,10,282,15168,60,92,56,41,,0,0,3,0,1,0,26,0,6060000000,121363000000,110943000000,9944750000,509,11136000,31,272,447,"96,189                        						
							km",801000,203000,303806000000,17696000000.0,17696000000.0,5674000000000.0,149000.0,80000,730999000.0,912050,2800,5267,7100
ROM,Romania,18148155,9437041,"7,731,114",199630,90000,55000,15000,148,29,0,13,44,2,0,66,0,451,13266,0,720,243,18,,0,0,0,0,3,7,0,7,10230630000,145200000000,774376000000,73391000000,103,8263000,11,127,10628,"85,387                        						
							km",67000,220000,600000000,9501000000.0,10055000000.0,105480000000.0,14752000.0,15533000,291000000.0,238391,225,2844,1731
UZB,Uzbekistan,36520593,18990708,"15,959,499",730412,120000,0,20000,159,26,13,12,7,0,0,101,34,470,8692,177,236,108,0,,0,0,0,0,0,0,0,0,6210000000,25714000000,379989000000,41237000000,74,13974000,0,0,4642,"225,500                        						
							km",64000,111000,594000000,47500000000.0,43227000000.0,1841000000000.0,6379000.0,8941000,1375000000.0,447400,420,6893,1100
