country,power_index_rank,power_index_score,purchasing_power_parity,foreign_exchange/gold,defense_budget,external_debt,square_land_area,coastline_coverage,shared_borders,waterways_(usable),total_population,available_manpower,fit-for-service,reaching_mil_age_annually,tot_mil._personnel_(est.),active_personnel,reserve_personnel,paramilitary,air_force_personnel*,army_personnel*,navy_personnel*,yearly_mobilization_potential,aircraft_total,fighters,attack_types,transports_(fixed-wing),trainers,special-mission,tanker_fleet,helicopters,attack_helicopters,tanks,vehicles,self-propelled_artillery,towed_artillery,mlrs_(rocket_artillery),total_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessels,mine_warfare,oil_production,oil_consumption,oil_deficit,oil_proven_reserves,natural_gas_production,natural_gas_consumption,natural_gas_deficit,nat.gas_proven_rez,coal_production,coal_consumption,coal_deficit,coal_proven_reserves,internet_coverage,labor_force,merchant_marine_fleet,ports_/_trade_terminals,airports,roadway_coverage,railway_coverage,total_tonnage
2026Syria Military Strength,87,1.8861,94,141,135,25,84,11,56,66,57,45,40,35,"150,000",55,145,24,51,46,60,"659,796",66,34,43,49,69,145,145,61,38,65,36,41,145,145,72,145,145,145,145,145,145,57,145,49,53,"-37,000 bbl",29,50,46,"+1,000,000 cu.m",38,145,13,"-15,000 mt",145,45,71,103,44,78,72,74,
2026Nicaragua Military Strength,116,2.5894,117,93,90,38,93,42,27,41,100,98,95,81,"50,500",77,145,44,90,77,71,"145,039",100,145,145,46,76,145,145,84,145,63,79,145,36,32,63,145,145,145,145,145,145,43,145,83,21,"-27,800 bbl",145,145,1,0 cu.m,145,145,1,0 mt,145,35,98,114,42,80,105,145,
2026Burkina Faso Military Strength,127,2.9213,112,145,60,18,73,999,78,145,59,61,62,59,"12,000",133,145,47,103,117,145,"364,021",92,145,45,49,145,29,145,78,40,145,129,145,95,72,,,,,,,,,,145,27,"-37,000 bbl",145,145,1,0 cu.m,145,145,1,0 mt,145,58,73,145,145,72,117,103,
2026Iceland Military Strength,134,3.4013,134,92,114,67,103,87,999,145,145,145,145,145,0,145,145,145,145,145,145,"1,797",145,145,145,145,145,145,145,145,145,145,138,145,145,145,145,145,145,145,145,145,145,145,145,145,13,"-19,000 bbl",145,145,1,0 cu.m,145,145,27,"-137,000 mt",145,1,143,93,17,55,122,145,
2026Mongolia Military Strength,93,1.9987,113,95,82,44,18,999,123,76,125,122,117,114,"315,000",88,29,24,81,83,145,"61,565",105,145,145,48,75,145,145,93,145,33,56,145,25,33,,,,,,,,,,63,28,"-24,000 bbl",145,145,1,0 cu.m,145,12,81,"+59,883,000 mt",29,18,126,44,145,81,46,78,
2026Namibia Military Strength,122,2.7414,131,113,118,49,33,53,85,145,129,138,139,131,"22,567",116,145,45,84,115,62,"30,451",89,55,145,46,64,145,145,89,43,98,109,145,79,50,70,145,145,145,145,15,145,51,145,145,17,"-23,000 bbl",145,145,1,0 cu.m,56,145,16,"-24,000 mt",53,31,132,106,45,25,86,63,
2026Sweden Military Strength,26,0.4834,41,40,27,129,55,78,53,42,85,88,87,94,"164,000",99,62,14,49,102,66,"104,561",49,26,145,45,46,28,16,52,145,73,25,58,145,145,9,145,145,145,145,10,13,11,11,69,86,"-259,000 bbl",145,145,29,"-889,924,000 cu.m",145,59,64,"-2,128,000 mt",75,5,77,43,7,28,26,22,42
2026Netherlands Military Strength,34,0.6142,28,37,19,141,125,26,19,24,70,64,59,75,"57,755",78,81,45,46,68,25,"193,028",61,145,18,47,59,145,145,48,29,95,77,49,145,75,24,145,145,145,13,145,14,19,16,46,105,"-770,000 bbl",56,33,85,"-15,469,000,000 cu.m",44,51,89,"-11,035,000 mt",24,4,55,17,29,76,39,59,22
2026Indonesia Military Strength,13,0.2582,8,22,33,111,14,106,71,8,4,4,4,4,"1,055,500",15,20,8,23,20,11,"4,726,134",24,39,21,10,22,18,16,22,30,42,24,25,33,46,5,145,145,145,9,4,13,4,10,20,117,"-780,000 bbl",31,14,86,"+21,349,000,000 cu.m",23,3,115,"+502,294,000 mt",7,29,4,1,6,14,13,27,11
2026Mauritania Military Strength,123,2.7919,130,121,131,16,28,38,96,61,119,125,128,104,"102,540",92,51,45,85,45,68,"81,195",95,145,44,44,71,29,145,92,145,85,90,145,72,145,77,145,145,145,145,145,145,59,145,145,23,"-32,000 bbl",74,145,1,0 cu.m,62,145,1,0 mt,145,44,130,110,45,90,123,96,
2026Portugal Military Strength,38,0.6659,47,43,47,122,105,57,26,70,84,79,73,87,"71,800",102,71,29,56,108,46,"126,065",62,44,43,32,56,17,13,64,145,92,57,59,76,145,26,145,145,145,14,15,15,22,145,66,75,"-187,068 bbl",73,145,48,"-3,700,000,000 cu.m",53,145,1,0 mt,70,15,81,19,20,35,40,54,40
2026Pakistan Military Strength,14,0.2626,26,66,38,97,35,44,120,145,5,7,7,3,"1,710,000",7,16,6,9,7,13,"4,734,375",7,6,7,11,2,11,13,9,12,7,14,9,5,10,31,145,145,145,10,11,11,18,16,42,100,"-554,000 bbl",41,21,93,"-9,511,000,000 cu.m",30,27,98,"-16,426,000 mt",27,51,7,84,44,40,17,20,28
2026Sudan Military Strength,66,1.3563,95,142,125,65,15,40,116,28,29,26,31,17,"517,500",22,35,33,39,15,67,"1,295,584",47,41,19,38,49,145,145,50,19,22,62,35,11,7,73,145,145,145,145,145,145,55,145,47,64,"-61,000 bbl",36,145,1,0 cu.m,51,145,1,0 mt,145,52,53,107,43,75,101,31,
2026Kazakhstan Military Strength,58,1.0433,39,47,54,70,9,2,128,4,63,59,56,71,"300,000",50,40,21,41,58,62,"280,059",50,41,35,31,55,145,145,44,33,39,38,32,46,19,61,145,145,145,145,145,145,43,17,13,91,"+1,569,000 bbl",12,26,78,"+4,388,000,000 cu.m",15,8,106,"+33,930,000 mt",11,8,56,62,145,36,53,17,
2026Hungary Military Strength,57,1.0429,54,46,53,106,102,999,51,49,89,87,81,90,"76,600",79,75,34,57,85,145,"116,776",72,54,145,48,61,145,145,54,37,55,53,58,40,145,,,,,,,,,,55,72,"-143,000 bbl",77,57,64,"-7,962,000,000 cu.m",86,38,71,"-401,000 mt",28,9,85,117,145,42,23,28,
2026Guatemala Military Strength,96,2.1277,70,60,111,53,101,21,40,63,68,66,60,76,"231,114",54,49,26,76,30,61,"180,247",90,145,45,41,145,29,145,77,145,145,104,145,59,145,62,145,145,145,145,145,145,46,145,74,59,"-111,000 bbl",62,92,4,"+290,000 cu.m",145,145,45,"-1,012,000 mt",145,37,67,111,44,66,114,95,
2026Somalia Military Strength,137,3.7393,132,145,102,10,44,76,57,145,74,103,111,86,"32,000",94,145,51,96,87,78,"128,530",107,145,145,145,145,145,145,90,145,145,124,145,145,145,66,145,145,145,145,145,145,47,145,145,4,"-6,000 bbl",145,145,1,0 cu.m,81,145,1,0 mt,145,50,96,115,41,79,119,145,
2026Colombia Military Strength,43,0.7551,32,41,28,100,25,77,114,7,30,28,26,25,"1,577,000",14,9,11,27,4,20,"832,360",27,51,26,9,37,11,16,18,145,145,48,68,59,145,13,145,145,145,10,15,13,5,145,24,90,"+426,000 bbl",33,39,66,"-161,000,000 cu.m",50,13,83,"+42,656,000 mt",19,23,26,57,33,11,25,72,46
2026Tanzania Military Strength,89,1.9111,68,98,87,61,30,50,84,145,23,52,58,42,"31,500",100,145,43,80,93,72,"599,494",88,55,145,45,71,145,145,81,145,60,65,145,44,45,72,145,145,145,145,145,145,55,145,145,45,"-85,000 bbl",145,56,34,0 cu.m,77,44,41,"+1,601,000 mt",37,49,21,42,39,28,36,44,
2026New Zealand Military Strength,90,1.9258,66,62,74,114,74,99,999,145,116,114,114,116,"13,650",128,88,56,72,118,63,"61,153",82,145,145,44,64,25,145,76,145,145,102,145,84,145,75,145,145,145,17,145,145,61,145,67,69,"-142,000 bbl",67,47,49,"-49,000,000 cu.m",60,41,62,"+315,000 mt",16,5,101,64,26,28,55,42,
2026Romania Military Strength,52,0.9558,35,38,34,104,79,13,69,47,69,58,54,74,"160,000",59,54,34,42,81,47,"197,110",56,43,145,38,43,29,145,49,145,31,47,145,13,21,67,145,145,145,16,10,145,145,12,48,80,"-153,000 bbl",39,41,65,"-554,000,000 cu.m",46,25,92,"-781,000 mt",58,12,64,60,36,45,60,23,
2026Iran Military Strength,16,0.3199,23,25,36,39,17,67,106,67,17,15,14,16,"1,180,000",8,24,9,18,18,29,"1,396,338",21,15,28,7,27,22,11,32,32,8,11,16,7,4,34,145,145,145,12,14,3,45,18,9,121,"+1,697,000 bbl",3,3,109,"+18,390,000,000 cu.m",2,47,63,"-823,000 mt",39,21,24,20,29,30,21,25,12
2026Yemen Military Strength,98,2.1617,136,132,124,36,50,59,38,145,48,51,48,41,"53,350",90,145,32,65,64,60,"602,959",52,28,145,48,51,145,145,51,31,145,115,66,74,59,61,145,145,145,145,16,145,56,145,63,38,"-43,000 bbl",27,70,14,0 cu.m,31,145,17,"-27,000 mt",145,60,65,97,37,81,70,145,
2026North Macedonia Military Strength,114,2.4956,127,99,122,29,133,999,18,145,134,132,131,132,"73,510",129,52,48,88,60,145,"27,413",97,145,145,145,67,145,145,86,41,145,112,145,53,66,,,,,,,,,,145,18,"-24,000 bbl",145,145,17,"-274,928,000 cu.m",145,39,72,"-1,344,000 mt",55,14,137,145,145,98,118,97,
2026Belarus Military Strength,70,1.4072,65,83,95,62,81,999,77,38,91,82,83,96,"483,400",70,23,21,43,99,145,"103,197",46,38,12,47,53,145,145,45,21,28,74,18,48,25,,,,,,,,,,58,63,"-95,000 bbl",50,74,71,"-16,609,071,000 cu.m",87,145,40,"-710,000 mt",145,9,87,115,145,74,59,34,
2026Chad Military Strength,85,1.8594,119,129,108,9,20,999,112,12,64,70,80,56,"42,750",84,145,45,102,82,145,"377,051",86,145,41,44,69,29,145,80,42,75,95,67,92,68,,,,,,,,,,39,9,"+109,000 bbl",35,145,1,0 cu.m,145,145,1,0 mt,145,61,72,145,145,76,92,145,
2026Czechia Military Strength,55,1.0313,49,24,37,115,110,999,50,72,81,81,71,99,"35,234",93,86,145,70,105,145,"96,310",67,54,32,41,58,29,145,59,41,94,80,43,145,68,,,,,,,,,,76,79,"-215,000 bbl",75,69,60,"-7,377,275,000 cu.m",84,17,100,"-1,293,000 mt",22,15,78,145,145,27,41,24,
2026United Kingdom Military Strength,8,0.1881,10,21,6,144,76,96,10,34,21,21,21,29,"173,270",41,64,145,20,42,19,"743,543",15,21,18,26,12,10,8,16,13,49,8,65,56,54,32,3,145,7,12,145,9,42,11,25,114,"-653,000 bbl",29,20,103,"-32,383,000,000 cu.m",39,53,78,"-5,804,000 mt",71,5,19,24,3,7,15,18,8
2026Beliz Military Strength,144,4.3602,144,137,141,4,134,20,11,68,144,141,142,140,"2,850",143,93,145,109,122,145,"8,622",109,145,145,50,145,30,145,95,145,145,141,145,145,145,70,145,145,145,145,145,145,51,145,79,3,"-4,200 bbl",82,145,1,0 cu.m,145,145,1,0 mt,145,26,145,25,45,88,141,145,
2026Denmark Military Strength,45,0.8198,52,28,30,125,124,92,3,84,107,107,105,107,"84,000",111,80,23,68,54,58,"76,671",63,45,30,47,46,28,145,66,145,89,83,61,145,73,49,145,145,145,10,145,145,56,13,51,67,"-88,000 bbl",43,55,35,"-329,000,000 cu.m",61,145,48,"-1,135,000 mt",145,1,99,27,9,46,69,62,26
2026Eritrea Military Strength,119,2.6841,145,143,132,1,95,62,46,145,103,113,115,108,"1,030,000",20,13,145,104,23,73,"75,166",97,63,145,46,76,145,145,83,39,68,125,50,68,53,63,145,145,145,145,145,145,48,145,145,3,"-5,000 bbl",145,145,1,0 cu.m,145,145,1,0 mt,145,56,123,111,45,100,116,115,
2026Liberia Military Strength,141,3.9275,141,136,144,5,98,34,40,145,113,109,108,113,"7,600",142,145,44,145,124,82,"64,423",145,145,145,145,145,145,145,145,145,145,134,145,145,145,77,145,145,145,145,145,145,59,145,145,3,"-5,000 bbl",145,145,1,0 cu.m,145,145,1,0 mt,145,53,112,5,43,94,127,111,
